,location,total_sqft,bath,price,bhk
1979,Cooke Town,1100.0,2.0,90.0,2.0
1980,Cooke Town,2300.0,3.0,250.0,3.0
1981,Cooke Town,1850.0,3.0,110.0,3.0
1982,Cooke Town,1600.0,3.0,260.0,3.0
1984,Cox Town,605.0,1.0,29.0,1.0
1987,Cox Town,1600.0,3.0,150.0,3.0
1988,Cox Town,1250.0,2.0,95.0,2.0
1989,Cox Town,1100.0,2.0,166.0,2.0
1990,Cox Town,1280.0,2.0,120.0,2.0
1991,Cox Town,1073.0,2.0,72.0,2.0
1992,Cox Town,1000.0,2.0,58.0,2.0
1993,Cox Town,1200.0,2.0,140.0,2.0
1994,Cunningham Road,5270.0,4.0,1250.0,4.0
1995,Cunningham Road,3875.0,3.0,864.0,3.0
1996,Cunningham Road,3875.0,3.0,800.0,3.0
1997,Cunningham Road,3815.0,3.0,763.0,3.0
1998,Cunningham Road,2880.0,3.0,501.0,3.0
1999,Cunningham Road,2275.0,3.0,285.0,3.0
2000,Cunningham Road,3489.0,3.0,662.0,3.0
2001,Cunningham Road,4170.0,3.0,800.0,3.0
2002,Cunningham Road,5108.0,5.0,995.0,4.0
2003,Cunningham Road,2700.0,3.0,501.0,3.0
2004,Cunningham Road,7500.0,6.0,1800.0,4.0
2005,Cunningham Road,2880.0,3.0,560.0,3.0
2006,Dasanapura,708.0,2.0,37.0,2.0
2007,Dasanapura,708.0,1.0,40.0,2.0
2008,Dasanapura,965.0,2.0,42.5,2.0
2010,Dasanapura,1500.0,3.0,65.0,2.0
2011,Dasanapura,708.0,1.0,28.32,1.0
2012,Dasanapura,814.0,2.0,42.0,2.0
2013,Dasanapura,1163.0,2.0,65.0,2.0
2014,Dasanapura,2400.0,5.0,100.0,4.0
2015,Dasanapura,1286.0,2.0,68.0,3.0
2016,Dasanapura,708.0,2.0,31.15,2.0
2017,Dasanapura,814.0,2.0,53.0,2.0
2018,Dasanapura,966.0,2.0,58.0,2.0
2019,Dasanapura,708.0,1.0,41.0,1.0
2020,Dasanapura,814.0,2.0,43.7,2.0
2021,Dasarahalli,1295.0,2.0,65.0,2.0
2022,Dasarahalli,1520.0,2.0,75.0,3.0
2023,Dasarahalli,1300.0,2.0,55.0,2.0
2024,Dasarahalli,1901.0,3.0,119.0,3.0
2025,Dasarahalli,1150.0,2.0,70.0,2.0
2026,Dasarahalli,2400.0,3.0,150.0,7.0
2027,Dasarahalli,2100.0,3.0,120.0,3.0
2028,Dasarahalli,1300.0,2.0,50.0,2.0
2029,Dasarahalli,2400.0,2.0,152.0,3.0
2030,Dasarahalli,1220.0,2.0,52.0,2.0
2031,Dasarahalli,1375.0,2.0,60.0,2.0
2032,Dasarahalli,1950.0,3.0,125.0,3.0
2033,Dasarahalli,1333.0,2.0,86.65,2.0
2034,Dasarahalli,1333.0,2.0,78.56,2.0
2035,Dasarahalli,1220.0,2.0,62.0,2.0
2036,Dasarahalli,1200.0,2.0,42.0,2.0
2037,Dasarahalli,1160.0,2.0,49.0,2.0
2039,Devanahalli,1260.0,2.0,66.78,2.0
2040,Devanahalli,1282.0,2.0,68.52,3.0
2041,Devanahalli,1360.0,2.0,65.0,2.0
2043,Devanahalli,6136.0,4.0,560.0,4.0
2044,Devanahalli,1408.0,2.0,85.0,2.0
2045,Devanahalli,1010.0,2.0,51.0,2.0
2046,Devanahalli,1080.0,2.0,53.35,2.0
2047,Devanahalli,5000.0,5.0,395.0,4.0
2052,Devanahalli,1174.0,2.0,59.0,2.0
2054,Devanahalli,2400.0,5.0,190.0,4.0
2055,Devanahalli,1200.0,1.0,95.0,1.0
2056,Devanahalli,5000.0,4.0,465.0,4.0
2057,Devanahalli,658.0,1.0,34.0,1.0
2058,Devanahalli,658.0,1.0,26.91,1.0
2059,Devanahalli,1026.0,1.0,28.57,1.0
2060,Devanahalli,1080.0,2.0,52.0,2.0
2061,Devanahalli,6136.0,4.0,550.0,4.0
2063,Devanahalli,1498.0,3.0,79.15,3.0
2064,Devanahalli,7370.0,4.0,393.5,4.0
2065,Devanahalli,1466.0,3.0,77.59,3.0
2066,Devanahalli,775.0,1.0,39.0,1.0
2067,Devanahalli,1020.0,2.0,49.87,1.0
2069,Devanahalli,1550.0,3.0,85.0,3.0
2070,Devanahalli,1200.0,2.0,55.08,3.0
2071,Devanahalli,1340.0,2.0,65.0,2.0
2072,Devanahalli,2125.0,3.0,107.0,3.0
2075,Devanahalli,658.0,1.0,26.91,1.0
2076,Devanahalli,1290.0,2.0,62.0,3.0
2077,Devanahalli,1010.0,2.0,58.0,2.0
2079,Devanahalli,1520.0,2.0,69.76,3.0
2080,Devanahalli,1585.0,2,52.57,1.0
2082,Devarachikkanahalli,1250.0,2.0,40.0,2.0
2083,Devarachikkanahalli,1200.0,2.0,83.0,2.0
2084,Devarachikkanahalli,1170.0,2.0,40.0,2.0
2085,Devarachikkanahalli,615.0,1.0,24.0,1.0
2086,Devarachikkanahalli,1230.0,2.0,58.0,2.0
2087,Devarachikkanahalli,1425.0,2.0,65.0,3.0
2088,Devarachikkanahalli,947.0,2.0,43.0,2.0
2089,Devarachikkanahalli,1130.0,2.0,36.0,2.0
2090,Devarachikkanahalli,1417.0,2.0,76.0,3.0
2091,Devarachikkanahalli,1230.0,2.0,58.0,2.0
2092,Devarachikkanahalli,1705.0,3.0,75.0,3.0
2093,Devarachikkanahalli,1116.0,2.0,47.0,2.0
2094,Devarachikkanahalli,991.0,2.0,40.0,2.0
2096,Dodda Nekkundi,1260.0,2.0,55.0,2.0
2097,Dodda Nekkundi,850.0,2.0,28.0,2.0
2098,Dodda Nekkundi,1390.0,2.0,60.0,2.0
2099,Dodda Nekkundi,1804.0,3.0,121.0,3.0
2100,Dodda Nekkundi,1080.0,2.0,50.0,2.0
2101,Dodda Nekkundi,1999.0,3.0,132.0,3.0
2102,Dodda Nekkundi,1100.0,2.0,48.0,2.0
2103,Dodda Nekkundi,1999.0,3.0,135.0,3.0
2104,Dodda Nekkundi,1100.0,2.0,41.15,2.0
2105,Dodda Nekkundi,1252.0,2.0,71.0,3.0
2106,Dodda Nekkundi,1155.0,2.0,46.0,2.0
2107,Dodda Nekkundi,1128.0,2.0,45.0,2.0
2108,Dodda Nekkundi,1148.0,2.0,56.0,2.0
2110,Dodda Nekkundi,1145.0,2.0,46.5,2.0
2111,Dodda Nekkundi,1829.0,3.0,125.0,3.0
2112,Dodda Nekkundi,1100.0,2.0,41.16,2.0
2113,Dodda Nekkundi,1100.0,2.0,46.75,2.0
2114,Dodda Nekkundi,1315.0,2.0,50.0,2.0
2115,Dodda Nekkundi,1135.0,2.0,58.0,2.0
2116,Dodda Nekkundi,1100.0,2.0,41.18,2.0
2117,Dodda Nekkundi,1370.0,2.0,60.0,2.0
2118,Dodda Nekkundi,1200.0,2.0,71.0,2.0
2119,Dodda Nekkundi,1585.0,2.0,79.0,3.0
2120,Dodda Nekkundi,1005.0,2.0,45.0,2.0
2121,Dodda Nekkundi,1264.0,2.0,52.0,2.0
2122,Doddaballapur,1690.0,3.0,80.0,4.0
2123,Doddaballapur,3000.0,2.0,120.0,3.0
2124,Doddaballapur,4200.0,4.0,325.0,4.0
2125,Doddaballapur,3876.0,3.0,300.0,3.0
2126,Doddaballapur,2776.0,4.0,195.0,3.0
2127,Doddaballapur,2400.0,3.0,250.0,3.0
2128,Doddaballapur,2440.0,3.0,142.0,3.0
2129,Doddaballapur,2400.0,3.0,200.0,4.0
2130,Doddaballapur,654.0,1.0,49.0,1.0
2131,Doddaballapur,3206.0,5.0,270.0,4.0
2132,Doddakallasandra,1233.0,2.0,43.0,2.0
2133,Doddakallasandra,1010.0,2.0,40.39,2.0
2134,Doddakallasandra,1360.0,2.0,54.39,3.0
2135,Doddakallasandra,1460.0,2.0,58.39,3.0
2136,Doddakallasandra,2493.0,3.0,115.0,3.0
2137,Doddakallasandra,2493.0,3.0,115.0,3.0
2138,Doddakallasandra,1360.0,2.0,54.4,3.0
2139,Doddakallasandra,1425.0,2.0,56.99,3.0
2140,Doddakallasandra,1010.0,2.0,40.39,2.0
2141,Doddakallasandra,1072.0,2.0,42.87,2.0
2142,Doddakallasandra,1010.0,2.0,40.4,2.0
2143,Doddakallasandra,1010.0,2.0,41.0,2.0
2144,Doddakallasandra,1072.0,2.0,42.87,2.0
2145,Doddathoguru,970.0,2.0,33.0,2.0
2146,Doddathoguru,1100.0,2.0,62.0,2.0
2147,Doddathoguru,1050.0,2.0,32.0,2.0
2148,Doddathoguru,850.0,2.0,25.0,2.0
2149,Doddathoguru,1030.0,2.0,42.0,2.0
2150,Doddathoguru,1549.0,3.0,65.0,3.0
2152,Doddathoguru,984.0,2.0,51.0,2.0
2153,Doddathoguru,550.0,1.0,17.0,1.0
2154,Doddathoguru,1015.0,2.0,33.5,2.0
2155,Doddathoguru,1104.0,2.0,39.0,2.0
2156,Doddathoguru,915.0,2.0,32.0,2.0
2157,Doddathoguru,1140.0,2.0,32.0,2.0
2158,Doddathoguru,750.0,1.0,25.5,1.0
2159,Doddathoguru,1595.0,3.0,62.0,3.0
2160,Doddathoguru,855.0,2.0,32.0,2.0
2161,Doddathoguru,1105.0,2.0,50.0,2.0
2162,Doddathoguru,925.0,2.0,30.0,2.0
2164,Doddathoguru,1140.0,2.0,26.49,2.0
2166,Doddathoguru,1100.0,2.0,50.0,2.0
2167,Doddathoguru,940.0,2.0,32.9,2.0
2168,Doddathoguru,1382.0,3.0,65.0,3.0
2169,Doddathoguru,1107.0,2.0,44.0,2.0
2170,Doddathoguru,907.0,2.0,40.0,2.0
2171,Doddathoguru,1783.0,3.0,85.0,3.0
2172,Doddathoguru,550.0,1.0,17.0,1.0
2173,Domlur,1540.0,3.0,90.0,3.0
2174,Domlur,1875.0,2.0,150.0,3.0
2175,Domlur,1429.0,3.0,86.0,3.0
2176,Domlur,1206.0,2.0,217.0,2.0
2177,Domlur,640.0,1.0,55.0,1.0
2178,Domlur,1050.0,2.0,85.0,2.0
2179,Domlur,1800.0,3.0,150.0,3.0
2180,Domlur,1720.0,3.0,135.0,3.0
2181,Domlur,1950.0,3.0,165.0,3.0
2182,Domlur,2180.0,3.0,285.0,3.0
2183,Domlur,650.0,1.0,70.0,1.0
2184,Domlur,780.0,1.0,70.0,1.0
2185,Domlur,2180.0,3.0,285.0,3.0
2186,Domlur,1740.0,3.0,120.0,3.0
2187,Domlur,1695.0,3.0,125.0,3.0
2188,Domlur,1246.0,2.0,95.0,2.0
2189,Domlur,2100.0,3.0,145.0,3.0
2190,Domlur,1276.0,2.0,80.0,2.0
2191,Domlur,1850.0,3.0,180.0,3.0
2192,Domlur,2955.0,3.0,235.0,3.0
2193,Domlur,1650.0,3.0,180.0,3.0
2194,Dommasandra,805.0,2.0,22.14,2.0
2196,Dommasandra,1267.0,3.0,56.0,3.0
2197,Dommasandra,1200.0,2.0,50.0,2.0
2198,Dommasandra,2700.0,3.0,68.0,4.0
2200,Dommasandra,1153.0,2.0,43.5,2.0
2201,Dommasandra,1500.0,2.0,40.0,2.0
2202,Dommasandra,1090.0,2.0,43.5,2.0
2203,Dommasandra,850.0,2.0,25.4,2.0
2204,Dommasandra,674.0,1.0,19.9,2.0
2205,Dommasandra,999.0,2.0,32.9,2.0
2206,EPIP Zone,1499.0,5.0,102.0,3.0
2207,EPIP Zone,1285.0,2.0,82.0,2.0
2208,EPIP Zone,2330.0,3.0,162.0,3.0
2209,EPIP Zone,1330.0,2.0,92.5,2.0
2210,EPIP Zone,1330.0,2.0,86.98,2.0
2211,EPIP Zone,1330.0,2.0,93.36,2.0
2212,EPIP Zone,2160.0,4.0,172.0,3.0
2214,EPIP Zone,1500.0,3.0,102.0,3.0
2215,EPIP Zone,1280.0,2.0,69.0,2.0
2216,EPIP Zone,1125.0,2.0,65.0,2.0
2217,EPIP Zone,1734.0,3.0,125.0,3.0
2219,EPIP Zone,1343.0,2.0,86.0,2.0
2221,EPIP Zone,2350.0,4.0,163.0,3.0
2222,EPIP Zone,1860.0,3.0,130.0,3.0
2223,EPIP Zone,2210.0,3.0,165.0,3.0
2225,EPIP Zone,2710.0,3.0,177.0,3.0
2228,Electronic City,1025.0,2.0,47.0,3.0
2232,Electronic City,1500.0,2.0,64.5,3.0
2233,Electronic City,1060.0,2.0,60.0,2.0
2234,Electronic City,1152.0,2.0,64.5,2.0
2239,Electronic City,589.0,1.0,27.0,1.0
2241,Electronic City,1200.0,3.0,90.0,3.0
2243,Electronic City,1108.0,2.0,63.0,2.0
2244,Electronic City,1128.0,2.0,65.0,2.0
2245,Electronic City,1800.0,3.0,95.0,3.0
2246,Electronic City,630.0,1.0,34.65,1.0
2247,Electronic City,1128.0,2.0,63.0,2.0
2248,Electronic City,1599.0,3.0,125.0,3.0
2249,Electronic City,1599.0,3.0,99.0,3.0
2250,Electronic City,1600.0,3.0,86.0,3.0
2253,Electronic City,1070.0,2.0,55.0,2.0
2256,Electronic City,1128.0,2.0,68.75,2.0
2257,Electronic City,1342.0,2.0,73.3,2.0
2258,Electronic City,1360.0,2.0,71.0,3.0
2261,Electronic City,1691.0,2.0,102.0,3.0
2262,Electronic City,1128.0,2.0,65.49,2.0
2265,Electronic City,1070.0,2.0,56.1,2.0
2266,Electronic City,2000.0,4.0,120.0,4.0
2267,Electronic City,890.0,2.0,45.0,2.0
2268,Electronic City,1128.0,2.0,65.65,2.0
2273,Electronic City,1360.0,2.0,75.0,3.0
2274,Electronic City,770.0,1.0,40.0,2.0
2275,Electronic City,1128.0,2.0,64.0,2.0
2276,Electronic City,1070.0,2.0,54.0,2.0
2278,Electronic City,1571.0,3.0,89.0,3.0
2279,Electronic City,1111.0,3.0,50.0,3.0
2281,Electronic City,630.0,1.0,47.0,1.0
2283,Electronic City,1374.0,2.0,72.0,3.0
2285,Electronic City,1128.0,2.0,65.35,2.0
2286,Electronic City,1128.0,2.0,65.0,2.0
2291,Electronic City,1563.0,3.0,91.84,3.0
2292,Electronic City,1652.0,3.0,70.0,3.0
2294,Electronic City,1025.0,2.0,54.5,2.0
2296,Electronic City,1350.0,3.0,58.0,3.0
2299,Electronic City,1700.0,3.0,75.0,3.0
2301,Electronic City,1128.0,2.0,68.0,2.0
2302,Electronic City,700.0,1.0,35.0,1.0
2303,Electronic City,1360.0,2.0,70.5,3.0
2305,Electronic City,1571.0,3.0,105.0,3.0
2309,Electronic City,1600.0,3.0,104.0,3.0
2311,Electronic City,1500.0,2.0,100.0,3.0
2315,Electronic City,1152.0,2.0,65.0,2.0
2316,Electronic City,1070.0,2.0,60.0,2.0
2317,Electronic City,1128.0,2.0,65.5,2.0
2319,Electronic City,1152.0,2.0,65.75,2.0
2321,Electronic City,1070.0,2.0,55.0,2.0
2322,Electronic City,1060.0,2.0,58.0,2.0
2323,Electronic City,1025.0,2.0,54.1,2.0
2328,Electronic City,1500.0,2.0,78.0,3.0
2330,Electronic City,1575.0,3.0,90.0,3.0
2331,Electronic City,435.0,1.0,19.5,1.0
2332,Electronic City,1449.0,3.0,100.0,3.0
2334,Electronic City,1125.0,2.0,58.0,2.0
2336,Electronic City,1575.0,3.0,101.0,3.0
2338,Electronic City,550.0,1.0,12.0,1.0
2340,Electronic City,1500.0,2.0,78.25,3.0
2341,Electronic City,1363.0,2.0,79.0,2.0
2344,Electronic City,1108.0,2.0,67.15,2.0
2346,Electronic City,1128.0,2.0,65.7,2.0
2349,Electronic City,630.0,1.0,60.0,1.0
2351,Electronic City,1650.0,3.0,100.0,3.0
2355,Electronic City,1449.0,3.0,90.0,3.0
2357,Electronic City,1070.0,2.0,58.0,2.0
2359,Electronic City,1500.0,2.0,75.0,3.0
2362,Electronic City,2435.0,4.0,119.0,4.0
2363,Electronic City,630.0,1.0,47.0,1.0
2368,Electronic City,1073.0,2.0,60.0,2.0
2369,Electronic City,1500.0,2.0,78.0,3.0
2372,Electronic City,1296.0,2.0,65.0,2.0
2373,Electronic City,1140.0,2.0,70.93,2.0
2379,Electronic City,2093.0,4.0,104.0,4.0
2380,Electronic City,1025.0,2.0,53.9,2.0
2381,Electronic City,940.0,2.0,54.0,2.0
2382,Electronic City,435.0,1.0,21.0,1.0
2383,Electronic City,1500.0,2.0,77.5,3.0
2384,Electronic City,1631.0,3.0,80.0,3.0
2385,Electronic City,1355.0,2.0,67.0,2.0
2388,Electronic City,435.0,1.0,22.0,1.0
2391,Electronic City,770.0,1.0,39.9,2.0
2393,Electronic City,1128.0,2.0,64.0,2.0
2394,Electronic City,605.0,1.0,13.31,1.0
2396,Electronic City,530.0,1.0,13.5,1.0
2397,Electronic City,1070.0,2.0,53.0,2.0
2400,Electronic City,1571.0,3.0,83.0,3.0
2402,Electronic City,1350.0,3.0,66.0,3.0
2403,Electronic City,1652.0,3.0,110.0,3.0
2407,Electronic City,1128.0,2.0,65.58,2.0
2408,Electronic City,1355.0,2.0,97.6,2.0
2409,Electronic City,635.0,1.0,28.0,1.0
2410,Electronic City,1128.0,2.0,65.4,2.0
2413,Electronic City,1355.0,2.0,72.9,2.0
2418,Electronic City,1609.0,3.0,115.0,3.0
2424,Electronic City,1108.0,2.0,63.0,2.0
2425,Electronic City,630.0,1.0,40.5,1.0
2428,Electronic City,605.0,1.0,22.0,1.0
2432,Electronic City,1360.0,2.0,70.0,3.0
2433,Electronic City,635.0,1.0,28.0,1.0
2434,Electronic City,1128.0,2.0,65.45,2.0
2440,Electronic City,1360.0,2.0,58.0,3.0
2441,Electronic City,630.0,1.0,46.0,1.0
2444,Electronic City,630.0,1.0,33.7,1.0
2448,Electronic City,1400.0,3.0,90.0,3.0
2449,Electronic City,1287.0,3.0,55.0,3.0
2450,Electronic City,1258.0,2.0,85.5,2.0
2451,Electronic City,1386.0,2.0,85.0,2.0
2452,Electronic City,550.0,1.0,27.0,1.0
2455,Electronic City,1070.0,2.0,55.0,2.0
2456,Electronic City,1342.0,2.0,72.0,2.0
2457,Electronic City,1275.0,3.0,70.0,3.0
2458,Electronic City,770.0,1.0,38.0,2.0
2463,Electronic City,1644.0,3.0,92.59,3.0
2464,Electronic City,1250.0,2.0,62.0,2.0
2467,Electronic City,418.0,1.0,12.0,1.0
2468,Electronic City,1128.0,2.0,64.8,2.0
2471,Electronic City,1060.0,2.0,55.0,2.0
2472,Electronic City,710.0,1.0,40.42,1.0
2475,Electronic City,1275.0,3.0,63.43,3.0
2476,Electronic City,1518.0,3.0,75.0,3.0
2477,Electronic City,1090.0,2.0,31.48,1.0
2480,Electronic City,1060.0,2.0,55.0,2.0
2482,Electronic City,1353.0,2.0,75.0,2.0
2484,Electronic City,1128.0,2.0,67.0,2.0
2485,Electronic City,1070.0,2.0,57.0,2.0
2486,Electronic City,1700.0,3.0,90.0,3.0
2488,Electronic City,750.0,1.0,35.0,1.0
2490,Electronic City,1070.0,2.0,60.0,2.0
2495,Electronic City,1615.0,3.0,97.0,3.0
2497,Electronic City,1221.0,2.0,68.0,2.0
2499,Electronic City,1500.0,3.0,73.0,3.0
2501,Electronic City,1342.0,2.0,90.0,2.0
2503,Electronic City,1128.0,2.0,63.5,2.0
2504,Electronic City,589.0,1.0,29.0,1.0
2507,Electronic City,1575.0,3.0,94.5,3.0
2509,Electronic City,1025.0,2.0,54.0,2.0
2510,Electronic City,1500.0,2.0,70.0,3.0
2511,Electronic City,1500.0,2.0,64.5,3.0
2513,Electronic City,2093.0,4.0,134.0,4.0
2515,Electronic City,1355.0,2.0,73.0,2.0
2516,Electronic City,1360.0,2.0,64.99,3.0
2518,Electronic City Phase II,1056.0,2.0,39.07,2.0
2519,Electronic City Phase II,1020.0,2.0,30.6,2.0
2520,Electronic City Phase II,1069.0,2.0,45.0,2.0
2521,Electronic City Phase II,630.0,1.0,28.35,1.0
2523,Electronic City Phase II,1000.0,2.0,25.0,2.0
2524,Electronic City Phase II,1090.0,2.0,28.34,2.0
2525,Electronic City Phase II,2225.0,4.0,98.88,4.0
2526,Electronic City Phase II,630.0,1.0,40.0,1.0
2527,Electronic City Phase II,2400.0,3.0,150.0,2.0
2529,Electronic City Phase II,775.0,2.0,38.0,2.0
2530,Electronic City Phase II,1266.0,2.0,59.0,2.0
2531,Electronic City Phase II,1000.0,2.0,28.88,2.0
2534,Electronic City Phase II,972.0,2.0,44.0,2.0
2536,Electronic City Phase II,1031.0,2.0,55.0,2.0
2537,Electronic City Phase II,1003.0,2.0,40.6,2.0
2538,Electronic City Phase II,1031.0,2.0,56.35,2.0
2540,Electronic City Phase II,1205.0,2.0,75.0,2.0
2541,Electronic City Phase II,1395.0,2.0,62.78,3.0
2542,Electronic City Phase II,1160.0,2.0,33.5,2.0
2543,Electronic City Phase II,1065.0,2.0,30.75,2.0
2544,Electronic City Phase II,1219.0,2.0,61.25,2.0
2546,Electronic City Phase II,1000.0,2.0,28.88,2.0
2547,Electronic City Phase II,1790.0,3.0,100.0,3.0
2548,Electronic City Phase II,769.0,2.0,40.0,2.0
2550,Electronic City Phase II,900.0,2.0,32.5,2.0
2553,Electronic City Phase II,993.0,2.0,50.0,3.0
2554,Electronic City Phase II,1418.0,3.0,52.47,3.0
2555,Electronic City Phase II,1070.0,2.0,45.0,2.0
2558,Electronic City Phase II,1140.0,2.0,33.06,2.0
2559,Electronic City Phase II,1533.0,2.0,32.67,2.0
2560,Electronic City Phase II,1031.0,2.0,55.0,2.0
2561,Electronic City Phase II,1253.0,2.0,65.8,2.0
2563,Electronic City Phase II,1160.0,2.0,33.5,2.0
2564,Electronic City Phase II,975.0,2.0,45.0,3.0
2565,Electronic City Phase II,6000.0,4.0,260.0,4.0
2566,Electronic City Phase II,1116.0,2.0,37.0,2.0
2567,Electronic City Phase II,1125.0,2.0,29.25,2.0
2568,Electronic City Phase II,1000.0,2.0,28.88,2.0
2569,Electronic City Phase II,1000.0,2.0,28.88,2.0
2570,Electronic City Phase II,1000.0,2.0,28.88,2.0
2571,Electronic City Phase II,1165.0,2.0,30.29,2.0
2573,Electronic City Phase II,1031.0,2.0,53.0,2.0
2575,Electronic City Phase II,1065.0,2.0,30.88,2.0
2577,Electronic City Phase II,1549.0,3.0,80.0,3.0
2578,Electronic City Phase II,1065.0,2.0,56.13,2.0
2580,Electronic City Phase II,920.0,2.0,26.0,2.0
2581,Electronic City Phase II,1140.0,2.0,33.84,2.0
2582,Electronic City Phase II,1219.0,2.0,61.26,2.0
2583,Electronic City Phase II,1252.0,2.0,65.0,3.0
2584,Electronic City Phase II,1125.0,2.0,32.49,2.0
2586,Electronic City Phase II,1286.0,2.0,69.0,2.0
2588,Electronic City Phase II,1140.0,2.0,32.92,2.0
2589,Electronic City Phase II,1116.0,2.0,40.0,2.0
2590,Electronic City Phase II,1150.0,3.0,46.0,3.0
2591,Electronic City Phase II,1192.0,2.0,47.0,3.0
2593,Electronic City Phase II,1020.0,2.0,32.0,2.0
2594,Electronic City Phase II,1900.0,3.0,97.0,4.0
2595,Electronic City Phase II,1020.0,2.0,27.43,2.0
2596,Electronic City Phase II,1025.0,2.0,26.65,2.0
2597,Electronic City Phase II,1020.0,2.0,29.45,2.0
2598,Electronic City Phase II,1000.0,2.0,28.88,2.0
2600,Electronic City Phase II,1140.0,2.0,28.5,2.0
2601,Electronic City Phase II,1125.0,2.0,32.49,2.0
2602,Electronic City Phase II,1200.0,2.0,34.65,2.0
2603,Electronic City Phase II,1160.0,2.0,52.2,2.0
2604,Electronic City Phase II,1244.0,2.0,55.0,2.0
2605,Electronic City Phase II,1160.0,2.0,33.51,2.0
2608,Electronic City Phase II,972.0,2.0,40.0,2.0
2609,Electronic City Phase II,1160.0,2.0,33.51,2.0
2611,Electronic City Phase II,1090.0,2.0,31.48,2.0
2612,Electronic City Phase II,1140.0,2.0,32.92,2.0
2613,Electronic City Phase II,650.0,1.0,35.0,1.0
2614,Electronic City Phase II,1155.0,2.0,57.0,2.0
2615,Electronic City Phase II,1800.0,3.0,92.0,3.0
2616,Electronic City Phase II,1300.0,2.0,28.0,2.0
2617,Electronic City Phase II,1940.0,4.0,116.0,3.0
2618,Electronic City Phase II,1160.0,2.0,33.5,2.0
2619,Electronic City Phase II,1025.0,2.0,29.6,2.0
2620,Electronic City Phase II,829.0,2.0,22.8,2.0
2622,Electronic City Phase II,1252.0,2.0,67.0,2.0
2624,Electronic City Phase II,1125.0,2.0,32.63,2.0
2625,Electronic City Phase II,1140.0,2.0,34.0,2.0
2628,Electronic City Phase II,1252.0,2.0,65.0,3.0
2629,Electronic City Phase II,1135.0,2.0,46.0,2.0
2630,Electronic City Phase II,1305.0,3.0,65.0,3.0
2631,Electronic City Phase II,1165.0,2.0,33.64,2.0
2633,Electronic City Phase II,1336.0,2.0,50.35,3.0
2634,Electronic City Phase II,575.0,1.0,16.75,1.0
2635,Electronic City Phase II,925.0,2.0,49.82,3.0
2636,Electronic City Phase II,1065.0,2.0,30.76,2.0
2637,Electronic City Phase II,1065.0,2.0,30.75,2.0
2638,Electronic City Phase II,1140.0,2.0,33.06,2.0
2639,Electronic City Phase II,911.0,2.0,26.5,2.0
2640,Electronic City Phase II,1200.0,2.0,34.65,2.0
2641,Electronic City Phase II,1031.0,2.0,54.48,2.0
2645,Electronics City Phase 1,1475.0,3.0,78.29,3.0
2646,Electronics City Phase 1,1490.0,3.0,78.8,3.0
2647,Electronics City Phase 1,1113.27,2.0,53.0,2.0
2648,Electronics City Phase 1,1490.0,3.0,84.0,3.0
2651,Electronics City Phase 1,630.0,1.0,39.0,1.0
2654,Electronics City Phase 1,1750.0,3.0,84.0,3.0
2657,Electronics City Phase 1,2040.0,3.0,137.0,3.0
2659,Electronics City Phase 1,1015.0,2.0,56.0,2.0
2660,Electronics City Phase 1,1595.0,3.0,75.0,3.0
2661,Electronics City Phase 1,1515.0,2.0,80.91,3.0
2663,Electronics City Phase 1,1555.0,2.0,82.0,3.0
2664,Electronics City Phase 1,1340.0,2.0,75.0,2.0
2665,Electronics City Phase 1,650.0,1.0,23.0,1.0
2666,Electronics City Phase 1,1124.0,2.0,55.0,3.0
2667,Electronics City Phase 1,1175.0,2.0,57.0,2.0
2668,Electronics City Phase 1,755.0,1.0,42.41,1.0
2670,Electronics City Phase 1,580.0,1.0,27.0,1.0
2672,Electronics City Phase 1,940.0,2.0,49.0,2.0
2673,Electronics City Phase 1,1335.0,2.0,67.0,2.0
2674,Electronics City Phase 1,1175.0,2.0,69.0,2.0
2675,Electronics City Phase 1,1113.12,2.0,55.0,2.0
2678,Electronics City Phase 1,1350.0,3.0,71.0,3.0
2680,Electronics City Phase 1,995.0,2.0,49.8,2.0
2681,Electronics City Phase 1,635.0,1.0,26.0,1.0
2682,Electronics City Phase 1,1190.0,2.0,68.0,2.0
2685,Electronics City Phase 1,1450.0,3.0,72.54,3.0
2686,Electronics City Phase 1,360.0,1.0,16.9,1.0
2687,Electronics City Phase 1,638.0,1.0,32.0,1.0
2688,Electronics City Phase 1,1175.0,2.0,64.98,2.0
2689,Electronics City Phase 1,585.0,1.0,21.0,1.0
2690,Electronics City Phase 1,1200.0,2.0,59.76,2.0
2692,Electronics City Phase 1,1125.0,2.0,65.0,2.0
2694,Electronics City Phase 1,1550.0,2.0,82.0,3.0
2695,Electronics City Phase 1,645.0,1.0,42.5,1.0
2697,Electronics City Phase 1,1140.0,1.0,45.4,1.0
2698,Electronics City Phase 1,1245.0,2.0,75.0,2.0
2701,Electronics City Phase 1,1450.0,3.0,70.0,3.0
2704,Electronics City Phase 1,1800.0,3.0,93.0,3.0
2706,Electronics City Phase 1,1170.0,2.0,62.0,2.0
2707,Electronics City Phase 1,1450.0,3.0,79.0,3.0
2708,Electronics City Phase 1,940.0,2.0,48.0,2.0
2710,Electronics City Phase 1,1300.0,2.0,67.0,2.0
2712,Electronics City Phase 1,1028.0,2.0,51.0,2.0
2720,Electronics City Phase 1,1205.0,2.0,60.0,2.0
